District ID,pop_pred_2030
1,65665.2745329182
2,66755.03705513879
3,63008.709124000256
4,61279.371174747306
5,62214.01467412849
6,62666.54039041734
7,64909.82156325523
8,65891.1315853402
9,61454.7669531786
10,65802.29510481468
11,73120.58611008908
12,65521.23408409967
13,63710.7517682978
14,117978.17202892517
15,68988.45927280329
16,72932.63194949988
17,63545.161952338574
18,65457.102536787614
19,66290.20734482969
20,77037.03026658528
21,92872.09149169475
22,79784.70221166873
23,96557.515507105
24,65430.85669821352
25,70874.4775032228
26,66617.9120719162
27,63285.74766343547
28,62654.70242174806
29,64000.11326018089
30,62723.0569978312
31,64355.85390900338
32,63255.65079991919
33,68302.86462168353
34,63127.83106621272
35,62682.8337971829
36,65250.84782064013
37,76303.01645904464
38,66209.17650179454
39,68067.60101266712
40,69062.7331461039
41,66642.6540160854
42,70000.06249796475
43,85069.4485685637
44,63884.387114274155
45,68307.04983476827
46,70127.19430287639
47,73066.546751769
48,64371.75061727286
49,63000.648598542495
50,61526.81407946328
